tweet,cleaned_text,class,label,token_count
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,rt woman shouldnt complain cleaning house amp man always take trash,2,0,11
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,rt boy dat coldtyga dwn bad cuffin dat hoe st place,1,1,11
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,rt dawg rt ever fuck bitch start cry confused shit,1,1,10
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,rt look like tranny,1,1,4
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,rt shit hear might true might faker bitch told ya,1,1,10
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",shit blow meclaim faithful somebody still fucking hoe,1,1,8
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",sit hate another bitch got much shit going,1,1,8
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,cause im tired big bitch coming u skinny girl,1,1,9
""" &amp; you might not get ya bitch back &amp; thats that """,amp might get ya bitch back amp thats,1,1,8
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobby include fighting mariam bitch,1,1,5
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve everyone lol walked conversation like smh,1,1,9
""" Murda Gang bitch its Gang Land """,murda gang bitch gang land,1,1,5
""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea go ig,1,1,6
""" bad bitches is the only thing that i like """,bad bitch thing like,1,1,4
""" bitch get up off me """,bitch get,1,1,2
""" bitch nigga miss me with it """,bitch nigga miss,1,1,3
""" bitch plz whatever """,bitch plz whatever,1,1,3
""" bitch who do you love """,bitch love,1,1,2
""" bitches get cut off everyday B """,bitch get cut everyday b,1,1,5
""" black bottle &amp; a bad bitch """,black bottle amp bad bitch,1,1,5
""" broke bitch cant tell me nothing """,broke bitch cant tell nothing,1,1,5
""" cancel that bitch like Nino """,cancel bitch like nino,1,1,4
""" cant you see these hoes wont change """,cant see hoe wont change,1,1,5
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick kermit video bout fuck ig,1,1,11
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got ya bitch tip toeing hardwood floor,1,1,7
""" her pussy lips like Heaven doors "" &#128524;",pussy lip like heaven door,1,1,5
""" hoe what its hitting for """,hoe hitting,1,1,2
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussy ocean dr gave pussy pill,1,1,7
""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy,1,1,5
""" i spend my money how i want bitch its my business """,spend money want bitch business,1,1,5
""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter,1,1,7
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",id say im back old old bitch would get excited,1,1,10
""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussy nigga shut,1,1,7
""" if you're toes ain't done you pussy stinks """,youre toe aint done pussy stink,1,1,6
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done bitter bitch wrap angry bird there app,1,1,9
""" is that ya bitch """,ya bitch,1,1,2
""" it aint nothing to cut a bitch off """,aint nothing cut bitch,1,1,4
""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane as bitch,1,1,7
""" lames crying over hoes thats tears of a clown """,lame cry hoe thats tear clown,1,1,6
""" like Snoop said in 94 we dont love these hoes """,like snoop said dont love hoe,1,1,6
""" momma said no pussy cats inside my doghouse """,momma said pussy cat inside doghouse,2,0,6
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hated hoe favorite,1,1,3
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick,1,1,18
""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe future voice,1,1,5
""" post a picture of that pussy get 200 likes """,post picture pussy get like,1,1,5
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug,1,1,3
""" quick piece of pussy call it a drive by """,quick piece pussy call drive,1,1,5
""" running round here like some brand new pussy thats bout to get fucked """,running round like brand new pussy thats bout get fucked,1,1,10
""" these bitches even worst they'll send them guys for you """,bitch even worst theyll send guy,1,1,6
""" these hoes like niggas that spend money not talk bout it """,hoe like nigga spend money talk bout,1,1,7
""" we dont trust these niggas all these bitches """,dont trust nigga bitch,1,1,4
""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall nigga b cuffing hoe cause yall aint never bitch,1,1,10
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet da bitch cut pregnant bound thank god,1,1,9
""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitch love music,1,1,6
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",teanna trump probably cleaner twitter hoe,1,1,6
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay nigga couldnt wait act like bitch tonight,1,1,8
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",ima steal cat n replace pitbull rt bitch,1,1,8
"""&amp; he's gone always be a hoe""",amp he gone always hoe,1,1,5
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch took tic tacs like movie,1,1,7
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna get money fuck model bitch russell simmons,1,1,8
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",probably wouldnt mind school much didnt deal bitch as teacher retweet,1,1,11
"""@A7XDemery: I'm a fucking fag they said""",im fucking fag said,1,1,4
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",female think dating pussy cute stuff make pussy,1,1,8
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",simplyaddictedtoguys woof woof hot scally lad,2,0,6
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",ya ever asked bitch bitch kanye voice yes,1,1,8
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",u gone bring ur side bitch game know ya gf friend swear,1,1,12
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",woof woof hot sol,2,0,4
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",lemmie eat oreo amp dish one oreo lol,2,0,8
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",bitch fuck u maybe youll get better,1,1,7
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",fuck red malone man bitch as niggah could please use complete sentence,1,1,12
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",eggplant emoji doey say looked like scream lmao,2,0,8
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",hennessey venom gt thats one sexy bitch,1,1,7
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",seh pussy wetter shower curtainltlmao,1,1,5
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",every need see pic posted bitch said racist shit,1,1,9
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",yo fuck skateboarding yall wood pushing faggot man ball life,1,1,10
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",baby monkey bathtime soooo adorable,2,0,5
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",aint shit damn skippy lol,1,1,5
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",u ever kill ant sidewalk think damn nigga way get pussyno b must b gtchance,1,1,15
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",ring mvp bitch lol,1,1,4
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",ppl talk bad ghettohood kid growing nigga funnnnnnn,1,1,8
